Domain,Phylum,Class,Order,Family,Genus,Species
d__Bacteria,p__Bacteroidota,NA,NA,f__Rhodothermaceae,g__Rhodothermus,NA
d__Bacteria,p__Bacteroidota,NA,NA,f__Rhodothermaceae,g__Salinibacter,NA
d__Bacteria,p__Bacillota,c__Tissierellia,NA,NA,g__Sedimentibacter,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Sedimenticola,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Tepidimonas,NA
d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,NA,g__Terrihabitans,NA
d__Bacteria,p__Chloroflexota,NA,NA,NA,g__Thermobaculum,NA
d__Bacteria,p__Aquificota,c__Aquificae,o__Aquificales,NA,g__Thermosulfidibacter,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Chromatiales,NA,g__Thiohalobacter,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Thiolapillus,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Thiomonas,NA
d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,NA,g__Tomitella,NA
d__Bacteria,p__Mycoplasmatota,c__Mollicutes,o__Entomoplasmatales,NA,g__Williamsoniiplasma,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Xylophilus,NA
d__Bacteria,p__Candidatus Absconditabacteria,NA,o__Candidatus Absconditabacterales,f__Candidatus Absconditicoccaceae,NA,NA
d__Bacteria,NA,c__Candidatus Babeliae,o__Candidatus Babeliales,f__Candidatus Babeliaceae,NA,NA
d__Bacteria,NA,NA,NA,f__Candidatus Chazhemtobacteraceae,NA,NA
d__Bacteria,NA,c__Candidatus Babeliae,o__Candidatus Babeliales,f__Candidatus Chromulinivoraceae,NA,NA
d__Bacteria,p__Pseudomonadota,c__Deltaproteobacteria,NA,f__Candidatus Desulfofervidaceae,NA,NA
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,f__Casimicrobiaceae,NA,NA
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,f__Celerinatantimonadaceae,NA,NA
d__Bacteria,p__Mycoplasmatota,NA,o__Mycoplasmoidales,f__Metamycoplasmataceae,NA,NA
d__Bacteria,p__Mycoplasmatota,NA,o__Mycoplasmoidales,f__Mycoplasmoidaceae,NA,NA
d__Bacteria,p__Bacteroidota,NA,NA,f__Rhodothermaceae,NA,NA
d__Bacteria,NA,c__Candidatus Babeliae,NA,NA,NA,NA
d__Bacteria,p__Candidatus Absconditabacteria,NA,o__Candidatus Absconditabacterales,NA,NA,NA
d__Bacteria,NA,c__Candidatus Babeliae,o__Candidatus Babeliales,NA,NA,NA
d__Bacteria,p__Bacteroidota,NA,o__Candidatus Sulfidibacteriales,NA,NA,NA
